session_id,start_time,end_time,hands_played,profit_bb,notes
83b2b4b0,2026-01-21T18:28:25.924524,2026-01-21T18:42:19.495364,0,0.0,
50732cba,2026-01-21T18:43:18.635518,2026-01-21T18:43:20.406752,0,0.0,
577c7174,2026-01-21T18:50:31.092755,2026-01-21T18:52:34.539172,0,0.0,
344948c5,2026-01-21T18:55:40.224420,2026-01-21T19:00:24.000853,0,0,
